,Target RPM: 225,,,,,,,,,,,,,,,,
Test Values of kp,,,,,,,,Test Values of ki for kp = 10,,,,,,Test Values of kp and ki,,,
kp = 12,Average:,kp = 10,Average:,kp = 8,Average:,kp = 5,Average:,ki = 20,Average:,ki = 15,Average:,ki = 10,Average:,kp = 8; ki = 15,Average:,kp = 5; ki = 20,Average:
-210.17,,-205.71,,-201.26,,,,-223.83,,,,-224.31,,-221.9,,,
-209.3,,-205.2,,-201.05,,,,-223.99,,,,-223.71,,-224.36,,,
-209.17,,-204.33,,-200.38,,,,-223.05,,,,-224.52,,-226.08,,,
-208.26,,-205.11,,-201.29,,,,-223.43,,,,-224.5,,-226.03,,,
-206.1,,-205.5,,-201.04,,,,-225.38,,,,-223.21,,-225.64,,,
-207.08,,-204.86,,-200.19,,,,-226,,,,-223.34,,-226.24,,,
-210.56,,-205.51,,-200.93,,,,-224.98,,,,-225.25,,-227.27,,,
-211.61,,-205.94,,-200.66,,,,-224.11,,,,-225.92,,-226.09,,,
-210.66,,-205.07,,-200.08,,,,-224.59,,,,-224.62,,-224.09,,,
-210.24,,-205.22,,-201.2,,,,-224.66,,,,-223.56,,-223.49,,,
-208.75,,-205.21,,-201.13,,,,-223.09,,,,-224.33,,-222.79,,,
-206.36,,-204.15,,-200.52,,,,-222.96,,,,-224.8,,-222.05,,,
-206.49,,-205.06,,-201.35,,,,-224.94,,,,-223.67,,-223.36,,,
-208.38,,-206.23,,-200.92,,,,-227.15,,,,-223.31,,-226.22,,,
-209.37,,-205.47,,-200.09,,,,-226.95,,,,-225.04,,-228.56,,,
-210.89,,-205.43,,-200.99,,,,-224.85,,,,-227.38,,-228.26,,,
-212.45,,-206.57,,-200.85,,,,-224.08,,,,-226.98,,-226.1,,,
-210.89,,-206.13,,-200.32,,,,-223.42,,,,-224.71,,-225.24,,,
-208.2,,-204.75,,-201.28,,,,-222.14,,,,-224.12,,-224.11,,,
-207.37,,-205.05,,-201.06,,,,-222.92,,,,-223.49,,-221.94,,,
-206.82,,-205.1,,-200.36,,,,-225.79,,,,-221.93,,-222,,,
-206.95,,-204.75,,-201.15,,,,-228.46,,,,-222.71,,-224.71,,,
-209.33,,-205.69,,-200.83,,,,-228.28,,,,-226.13,,-226.5,,,
-210.87,,-205.99,,-200.09,,,,-226,,,,-229.21,,-226.32,,,
-210.14,,-205.04,,-201.02,,,,-224.91,,,,-229.06,,-225.83,,,
-209.75,,-205.26,,-200.99,,,,-223.61,,,,-226.68,,-226.07,,,
-208.55,,-205.46,,-200.43,,,,-221.52,,,,-225.28,,-226.81,,,
-206.06,,-204.75,,-201.29,,,,-222.05,,,,-224.95,,-225.58,,,
-206.7,,-205.47,,-200.98,,,,-225.47,,,,-223.11,,-223.62,,,
-210.33,,-205.8,,-200.19,,,,-229.1,,,,-221.64,,-223.36,,,
-211.85,,-204.57,,-201.08,,,,-229.52,,,,-223.46,,-223.12,,,
-211.21,,-205.19,,-200.84,,,,-227.42,,,,-225.29,,-222.55,,,
-210.91,,-205.88,,-200.2,,,,-226.24,,,,-225.26,,-223.67,,,
-209.33,,-204.85,,-201.27,,,,-225.81,,,,-225.06,,-226.17,,,
-206.6,,-204.95,,-201.18,,,,-223.62,,,,-225.99,,-228.36,,,
-206.22,,-206.48,,-200.09,,,,-221.5,,,,-227.12,,-227.98,,,
-207.8,,-206.49,,-200.65,,,,-222.6,,,,-225.66,,-225.67,,,
-208.97,,-205.44,,-200.67,,,,-224.31,,,,-223.57,,-224.62,,,
-210.93,,-205.67,,-200.18,,,,-224.74,,,,-223.44,,-223.5,,,
-212.79,,-205.23,,-201.13,,,,-225.51,,,,-223.32,,-221.82,,,
-211.37,,-204.48,,-201.33,,,,-227.19,,,,-222.71,,-222.49,,,
-208.84,,-205.3,,-200.76,,,,-227.98,,,,-223.77,,-225.41,,,
-207.83,,-205.68,,-201.15,,,,-226.01,,,,-226.27,,-228.06,,,
-206.69,,-204.94,,-200.94,,,,-223.48,,,,-226.99,,-228.14,,,
-206.35,,-205.33,,-200.28,,,,-222.93,,,,-225.74,,-226.37,,,
-208.76,,-205.67,,-200.89,,,,-222.66,,,,-224.44,,,,,
-210.82,,-204.59,,-200.87,,,,-222.31,,,,-224.25,,,,,
-210.65,,-205.07,,-200.33,,,,-223.96,,,,-224.02,,,,,
-210.57,,-205.77,,-201.04,,,,-226.96,,,,-222.77,,,,,
-209.36,,-204.78,,-201.12,,,,-227.74,,,,-223.11,,,,,
-206.49,,-204.71,,-200.54,,,,-226.39,,,,-225.75,,,,,
-205.96,,-206.34,,-201.14,,,,-224.92,,,,-228.35,,,,,
-209.09,,-206.64,,-201,,,,-224.42,,,,-227.98,,,,,
-211.63,,-205.89,,-200.19,,,,-223.75,,,,-225.63,,,,,
-211.89,,-206.3,,-200.74,,,,-222.31,,,,-224.52,,,,,
-211.88,,-205.6,,,,,,-222.87,,,,-223.29,,,,,
-210.2,,-204.33,,,,,,-225.48,,,,-221.54,,,,,
-207.14,,-204.72,,,,,,-227.98,,,,-222.52,,,,,
